,질병명,축종,정의,주요증상
625,"각막 종양(Corneal neoplasia, tumors, in dogs and horses)","개, 고양이","개 각막의 일차성 종양은 드뭄. 대부분의 종양은 다른 부분에서 전이된 것임. 각막 종양은  흑색종, 혈관육종, 상피종, 섬유육종, 조직구종, 편평상피암을 포함해 개에서 보고된 바 있음. 바이러스성 유두종증은 어린 개에서 일차성 각막 종양의 대부분을 차지함. 말에서 각막 종양은 편평상피암, 혈관종, 혈관육종, 림프육종, 비만세포종, 흑색종, 유두종을 포함. 병력을 통해 진단.",각막색소침착이상 각막의부종 각막의종창 종괴 결절 각막혈관신생 결막 공막부종 결막 공막의발적 눈의통증 안통 눈의화농성분비물 실명 시력상실 안와 안와주위 결막부종 안구종괴
626,"각막의 죽은뼈, 미이라화, 흑각막염(Corneal sequestrum, mummification, keratitis nigrum, in cats)",고양이,"상피밑에 황반, 흑반의 생성으로 인해 각막 퇴행에 의한 질병임. 황생 눈물을 흘리게 됨. 주로 한쪽에서 일어나지만, 양측 눈 모두에서 일어날 수 있음. 특정 병인은 알려져 있지 않음. 눈진단, 병력을 통해 진단.",각막색소침착이상 각막혈관신생 각막의궤양 각막의부종 결막 공막부종 결막 공막의발적 눈물흘림 장액성분비물 축축한눈 눈부심 눈의통증 안통 눈의화농성분비물 무기력 침울 졸림 생기없음 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 안검연축 경련 안구함몰 전방축농 안구전방에지질이나섬유소축적
627,폐동맥 유래 관상동맥(Coronary artery origin from the canine pulmonary trunk),개,2년령 미니어쳐 푸들이 병력 없이 갑자기 죽게 됨. 부검시 왼쪽 관상 동맥이 폐동맥으로부터 기인하는 비정상을 관찰할 수 있음.,급사 돌연사
628,COTONEASTER 독(Cotoneaster species poisoning),"개, 고양이",COTONEASTER은 5미터 가량 높이 정도 되는 상록수임. 독성이 낮은 식물이지만 영국의 수의독성정보서비스에 따르면 때론 독성을 일으키는 것으로 보고됨.,과도한침흘림 구토 설사 하리 탈수
629,콕시엘라부르네티(Coxiella burnetii in cats),고양이,"고양이에서 리켓치아 콕시엘라부르네티에 의한 임상적 질병은 알려지지 않았고, 실험 접종에서는 몇일간 식욕부진과 무기력, 발열을 나타냄. COXIELLA는 유산과 신생아 사망을 일으킴.",무기력 침울 졸림 생기없음 발열 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 유산 허약한새끼분만
630,"고대퇴 탈구, 둔부 탈구(Coxofemoral dislocation, hip luxation, in dogs, cats and birds)","개, 고양이","개에서 가장 흔한 탈구이고 외상에 의하거나 개나 고양이에서 둔부 탈구가 이를 일으키기 쉽게 함. 완전 탈구는 원인대 파열과 관절낭 분리나 약화를 일으킴. 탈구는 주로 배측전방임. 증상, 병력, 촉진, 방사선을 통해 진단. 조류에서 때에 따라 발생할 수 있는데, 주로 1kg이 넘는 조류에서 발생.",골반 둔부통증 골반위축 다리 발 발가락이완및탈구조류 뒷다리관절이완 탈구 뒷다리및골반부 염발음 후지골반마찰음 뒷다리위축 뒷다리통증 뒷다리파행 조류다리가상대적으로짧음 조류의파행 경직 한쪽다리를끌며걷기
631,머리턱 골병증(Craniomandibular osteopathy in dogs),개,"머리턱 골병증은 아래턱뼈, 고실 수포와 머리의 다른 뼈에 영향을 줘 아래턱 부종, 턱 통증과 개구불능을 일으키는 비종양성 골 증식임. 병변은 양측성이지만 비대칭일 수 있음. 4-10월령에 증상이 시작됨. 방사선 사진에서 뼈 증식을 볼 수 있음. 원인은 알 수 없음. 테리어 종에서 주로 발견됨.",개구장애 개구곤란 과도한침흘림 머리 얼굴 귀 턱 코의종창 머리 얼굴 턱 귀의통증 머리 얼굴 턱 혀위축 수척 발열 사시 사팔뜨기 안구돌출 저작곤란 잘씹지못함
632,윤상인대 이완불능증(Cricopharyngeal achalasia in dogs),개,"강아지에서 지속적인 삼킴곤란으로 인해 드물게 일어나며, 야위기 전까지 증상이 나타나지 않음.  불충분한 윤상인대 괄약근의 이완으로 음식물을 근위 식도로 보내는 정상적인 움직임을 못하게 됨. cine-flourographic으로 인한 연하기능 검사를 통해 진단. 이차적으로 인두염, 편도염, 콧물, 흡인성 폐렴이 관찰 될 수 있음.",구역질 구토 기침 다호흡 빠른호흡(빈호흡) 과호흡 비도비강내섭취물 비정상의폐포음 상부기도의비정상호흡음 연하곤란 청색증 호흡곤란 개구호흡 그르렁거림 가쁜호흡
633,"무릎관절의 십자인대 파열, 박리, 탈구(Cruciate, meniscal, rupture, detachment, luxation of the stifle joint)","개, 고양이","무릎관절 손상은 일반적이고 십자인대의 파열은 경우에 따라 발생하며, 뒷다리 보다는 앞다리에 주로 영향을 미침. 개에서의 파열은 인대 내 만성 퇴행성 변화와 관계가 있음. 동물은 파행이 일어나게 되며, 무게부하가 없음. 관절의 비정상적 움직임은 촉진 가능하며, 방사선, 관절경 검사, MRI를 통해 진단할 수 있음. 조류에서는 드물지만 Holz에 의해 처치가 기술되었음. 개에서 한쪽 파열이 일어난 뒤 반대쪽십자인대의 파열이 흔함. Meniscal 칼슘화와 골화는 개, 고양이에서 기술된 바 있음.",다리 발 발가락이완및탈구조류 뒷다리및골반부 염발음 후지골반마찰음 뒷다리부종 뒷다리통증 뒷다리파행 뒷다리관절운동성감소 이동거부 조류다리 발 발가락만곡 굽음 조류의파행 경직 한쪽다리를끌며걷기뒷다리관절이완 탈구 피부의열감
634,잠재 섬유성 폐포염(Cryptogenic fibrosing alveolitis in cats),고양이,잠재 성유성 폐포염은 같은 검체내에 다양한 병리학적 변화가 두드러지는 특징이 있음. 탈락성의 형태네에 폐포 내 대식세포의 축적과 폐포 중격의 비후가 기도 내와 중격에 다양한 섬유화로 있음. 고양이의 만성 기관지폐 질병은 잠재 섬유성 폐포염의 퇴행성 형태의 부검 시 변화가 있음.,기침 다호흡 빠른호흡(빈호흡) 과호흡 무기력 침울 졸림 생기없음 비정상의폐포음 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 체중감소 호흡곤란 개구호흡 그르렁거림 가쁜호흡
635,"크립토스포리듐증, 작은와포자충(Cryptosporidiosis, cryptosporidium parvum)","개, 고양이","CRYPTOSPORIDIUM PARVUM은 장의 미세융모 변연부를 침습하는 미세 콕시디안충임. 증상은 1개월령 반추류에서 나타나며, 주로 경미한 설사지만 더 심한 증상이 일어날 수 있음. 최근 고양이, 개, 망아지에서 설사의 원인으로 기술되고 있음. 면역결핍 아라비안 망아지가 높은 위험을 가지고 있음. 분변으로 전파되기 때문에 청결유지가 감염예방에 최선임. 백신 없음. 인수공통.",거친피모 곤두선털 기립불능 다우너 무기력 침울 졸림 생기없음 발열 발육정지 체중증가없음 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 이급후증 장내강확장의촉진 전신허약 부전마비 마비 점액변 점액양분변 체중감소 탈수 혈변
636,피부 점막 칸디다증(Cutaneous and mucosal candidiasis in the dog and cat),"개, 고양이","CANDIDA ALBICANS의 피부 점막 감염은 극히 드물지만 보고된 바 있음. 피부, 손발톱 주름, 귀의 병변이 있을 수 있으며, 외음부, 질의 악취냄새, 분비물을 동반한다. 직접 도말과 배양으로 진단.",과도한침흘림 구강 혀의종창 종괴 귀의화농성 점액양분비물 귓밥이많음 악취 질종창 종괴 질 자궁경부의궤양 탈모 피부구진 피부농포 피부누관 피부또는피하의종창 피부부종 피부수포 피부인설 피부통증 피부플라크(반) 피부 털 깃털이축축함 피부의가피 피부의궤양 피부의악취 피부홍반 염증 발적 호흡시이상한냄새
637,피부와 신사구체 혈관병증(Cutaneous and renal glomerular vasculopathy of greyhounds),개,"피부 홍반, 궤양, 원위 사지 부종의 증후군은 1985년부터 그레이하운드에서 인식되었음. 대부분의 개는 경주적정연력에 영향을 받음. 주로 질소혈증이 있음. 피부병변은 출혈, 섬유소성 동맥염, 혈전증, 경색증으로 특징됨.  영향을 받은 신장은 신모세혈관 내 응고를 통한 과급성 신사구체 괴사가 있음. 피부병변은 주로 뒷다리의 부종으로 시작되지만 대부분의 개에서는 피부병변만 나타나고, 피부증상과 궤양 전 일어날 질소혈증과 같은 복합 증상이 나타날 수 있음. 원인은 알려져 있지만, 질병이 일어나기 쉽게 하는 감염요인이 의심됨. 그레이트 데인에서 비슷한 상황이 기술됨.",과도한침흘림 구토 다뇨증 다음 많이마심 지나친갈증 앞다리종창 종괴(관절부/비관절부위포함) 무기력 침울 졸림 생기없음 발열 분변색깔이진함 암흑색분변 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리종창 종괴(관절부/비관절부위포함) 점상또는반상출혈 창백 피부또는피하의종창 피부부종 피부의궤양 피부홍반 염증 발적 혈변 분변내잠혈
638,피부 혈관암종(Cutaneous angiomatosis in dogs and cats),"개, 고양이","개, 고양이는 진피와 피하조직과 관련된 혈관 조직의 진행적 침습 증식으로 발전할 수 있음. 악성은 아님. 고양에선 발가락에서 시작되며 사지 병변과 관련이 있음. 혈관 결절 혹은 플라크가 진행적 종대로 나타날 수 있음.",머리 얼굴 귀 턱 코의종창 앞다리종창 종괴(관절부/비관절부위포함) 앞다리파행 앞발 발가락종창 탈모 피부또는피하의종창 피부색소과잉침착 피부수포 피부플라크(반) 흉부종창
639,피부 홍반(Cutaneous flushing in dogs),개,"피부 홍반에서는 혈관 확장으로 인해 피부가 붉은 빛으로 변하게 됨. 노령 개에서는 머리, 목, 앞발의 발작 피부 홍반으로 발전하게 됨. 가려움은 없음. 방사선 촬영시 흉강 내 덩어리를 관찰할 수 있음. 부검 시 폐선암종과 비만세포종이 보임. 악성에 대한 지표로 비부에 홍반이 나타남. 홍반이 나타날 다른 이유가 없을 경우에는 악성 종양의 가능성에 대해 의심해 봐야함.",피부홍반 염증 발적
640,피부 혈관육종(Dermal angiosarcoma in dogs),개,특징적인 형태를 가진 종양. 피부와 피하에 생기는 타박상과 유사하나 종양에 따른 혈관 통합은 사지말단 압력에 영향을 주는 조직을 창백하게 함. 전이 가능. 병력을 통해 확진.,뒷다리종창 종괴(관절부/비관절부포함) 뒷다리파행 경직 절름발이 무기력 침울 졸림 생기없음 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 피부부종 피부의열감 피부홍반 염증 발적 
641,"새진드기의 체내 침입(Dermanyssus gallinae, poultry mite, infestation)","개, 고양이","보기 드문 피부질환이나 동물이 가금류와 접촉시 흔히 나타나는 피부질환. 이 진드기는 충혈되었을 때는 빨간색이나, 평상시에는 흰색, 회색 또는 검은색을 띰. 피부를 긁어내어 현미경적 관찰을 하여 진단.",소양감 가려움 탈모 무모증 피부구진 피부색소과잉침착 피부인설 비듬 비늘 피부통증 피부의가피 딱지 피부의악취 냄새 피부홍반 염증 발적 
642,microfilaria와 관련된 피부염(Dermatitis associated with microfilaria in dogs),개,미국 서부 지역의 개는 하나 혹은 여러 가지 병변을 특징으로 하는 피부염 다발. superfamily Filaroidea 중의 하나인 선충류의 microfilaria는 표피나 피하에서 자유로이 생활하거나 microgranulomas를 형성. 심장사상충이나 ACANTHOCHEILONEMA RECONDITUM에 의한 것이 아니라 아직 보고되지 않은 filaroid에 의한 것으로 보임.,소양감 가려움 탈모 무모증 피부구진 피부반흔 흉터 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 
643,포진성피부염(Dermatitis herpetiformis in dogs),개,"사람의 포진성피부염과 유사. 드물게 나타나나 일반 치료로는 쉽게 낫지 않는 강한 소양감 증세, 구진, 딱지가 나타나는 피부염. 병인론은 알려져 있지 않으나 면역유전학과 글루텐에 민감한 장질환이 중요. 임상증상, 병력, dapsone으로 치료시 나타나는 반응 등을 통해 진단",설사 하리 소양감 가려움 탈모 무모증 피부구진 피부농포 피부부종 피부수포 대수포 물집 피부통증 피부의가피 딱지 피부홍반 염증 발적 
